CODIGO_LOCAL,NOMBRE_LOCAL,CP
252,"ASPASOFT COMUNICACIONES, S.L.",13600
707,ROLVAS 5 CIUDAD REAL S.L,13600
706,ROLVAS 5 CIUDAD REAL S.L,13700
338,"GRUPCOM RETAIL,  S.L.",13300
704,ROLVAS 5 CIUDAD REAL S.L,13200
705,ROLVAS 5 CIUDAD REAL S.L,13300
0586a,PLATAFORMA EMPR CIUDAD REAL SL,13500
47,PUERTOLLANO - San Gregorio,13500
48,CIUDAD REAL - Toledo,13001
E-PL1,La Pausa /  E-PL1,13650
409,PLATAFORMA EMPR CIUDAD REAL SL,13001
3,VIALIA,29002
100a,VILANOVA I LA GELTR� - Rambla Sam� 18,8800
89,SABADELL - Pla�a Major,8202
0128a,BFB SERV. Y COMUN. ALBACETE SL,2400
0367a,GAPE COMUNICACIONES S.L,49800
371,LEONESA DE COMUNICACIONES INTEGRALES S.A.,49018
106,ZAMORA - Plaza Santiago,49003
897,"ZAITEL 500 , S.L.",37007
917,"TOTALFAN, S.L.",37500
988,"OPEVAR, S.L.",37002
171b,STA MARTA DE TORMES - CC El Tormes,37900
1471a,"TOTALFAN, S.L.",37005
1579,STAND -- EXPERIS ECI SALAMANCA,37004
219,SALAMANCA - Toro,37002
40,Salamanca,37004
395,CRS CHANNEL SERVICIOS TELEF SL,5001
111a,�VILA - CC El Bulevar,5004
516,ALIMERKA-VA-SHELLY,47013
517,ALIMERKA-VA-GABILONDO,47007
287,CRS CHANNEL SERVICIOS TELEF SL,47005
894,CRS CHANNEL SERVICIOS TELEF SL,47002
0573a,"TOTALFAN, S.L.",47010
1613,"TOTALFAN, S.L.",47400
926,"SISTEMAS DE TELECOMUNICACIONES DE CASTILLA, S.L.",47001
1438a,"TOTALFAN, S.L.",47013
E-PE1,Medas /  E-PE1,43005
E-PET,Medas/Tienda,43005
E-LL2,LLEIDA HOSTELERIA A.S.,25161
E-LL3,LLEIDA TIENDA A.S.,25162
E-MBTN,MONTBLANC TIENDA MEDAS A.S._N (A BCN),8000
E-MB1,MONTBLANC HOSTELER�A A.S._M (A BCN),43005
E-MA1,MARESME HOSTELER�A A.S._N,8100
E-MA2,MARESME HOSTELER�A A.S._S,8000
E-PBTN,PORTA DE BARCELONA TIENDA  A.S._N,43000
E-PB1,PORTA BARCELONA HOSTELER�A MEDAS A.S._S,8755
E-BL2,La Pausa /  E-BL2,8100
E-PB2,PORTA BARCELONA HOSTELER�A MEDAS A.S._N (BCN),8100
E-PBTS,PORTA DE BARCELONA TIENDA A.S._S,43000
0532a,"GRUPO BONATEL, S.L.U.",28440
26,TORRELODONES - CC Espacio Torrelodones,28250
583,ABOUT LINE S.L.,28022
508,"GRUPO LIDERTEL, S.L.",28027
030a,MADRID - Alcal�,28009
2330,R6,35610
236,R1,35610
237,R3,35610
49,TOLEDO - Alberche,45007
103,Bonaire_Aldaia,46960
111,Puerta del Sol,28013
1462,Parque Sur,28916
1465,Puerto Venecia,50021
1468,Plaza Arag�n,50001
201,Plaza_Norte_2,28700
56,�boli,28320
161,ALIMERKA -FELGUERA-MARIAN GUTIERREZ,33930
16,ALIMERKA-CONSTITUCION,33950
83,ALIMERKA-SAMA-FERNANDEZ REBOLLOS,33900
113,ALIMERKA-BLIMEA-LIBERTAD,33960
135,ALIMERKA-GI-CTRA CARBONERA,33211
136,ALIMERKA-GI-TORREBERMEJA,33211
185,ALIMERKA-GI-ELECTRA,33208
166,ALIMERKA-GIJON,33207
38,ALIMERKA-GI-17 AGOSTO,33205
51,ALIMERKA-GI-JUAN ALVARGONZALEZ,33208
104,ALIMERKA-P.S.-ERIA DEL HOSPITAL,33510
13,ALIMERKA-FLOREZ ESTRADA,33180
130,ALIMERKA-NAVA-LA COLEGIATA,33520
143,ALIMERKA-INFIESTO-SAN MIGUEL,33530
18,ALIMERKA-P.S.-ALC.PARRONDO,33510
24,VALENCIA I,46002
31,VALENCIA II,46021
14,POSTAS,28012
15,MARQUES DE URQUIJO,28008
23,ZARAGOZA,50009
25,GETAFE,28902
26,MOSTOLES,28937
28,ALBERTO ALCOCER,28016
32,BRAVO MURILLO 37,28015
33,SAN SEBASTIAN DE LOS REYES,28701
34,BRAVO MURILLO 194,28020
0846a,"GRUPO MOVIL CONECTATE, S.L",28028
1598,STAND -- ROLVAS 5 ECI GOYA,28001
652,BFB SERV. Y COMUN. ALBACETE SL,28028
840,"IRIS MOBILE, S.L.",28009
16,CORDOBA,14002
27,CORDOBA II,14010
22,JEREZ,11407
20,HUELVA,21006
21,JAEN,23001
29,MALAGA I,29015
30,ARROYO DE LA MIEL,29631
2,NERVION,41005
13,SEVILLA ESTE,41020
3,LOS REMEDIOS,41011
4,ENCARNACION,41003
6,ALAMEDA,41003
1,BERMEJALES,41012
411,"PABLO SANCHEZ XXI, S.L.",21730
4,SPLAU,8940
10,LA MAQUINISTA,8030
11,GLORIES,8020
0494a,LINDE LINE S.L.,23680
653,"CENTROMOVILESBADAJOZ, S.L",6100
5,MONTEQUINTO,41089
8,REINA MERCEDES,41012
217,MADRID- SALVADOR_Turista_19_01_2014,21000
218,SALVADOR- MADRID_Turista_26_01_2014,21000
219,MADRID-CANCUN_Turista_26_01_2014,21000
220,CANCUN-MADRID_Turista_02_02_2014,21000
S047,FH ROQUETAS,4740
592,"INDAL PHONE, S.L",4720
0916a,NEXTEL FUTURE TELECOM S.L,4100
448,"GSM BAHIA, S.L.U.",4006
0914b,PEOPLECOM 1 S.L,4700
1592,STAND -- EXPERIS Eci El Ejido,4700
301a,NEXTEL FUTURE TELECOM S.L,4004
D015,MEDICO RODRIGUEZ,15000
D019,EUROPA,15000
D023,RDA. OUTEIRO,15000
D024,RDA. NELLE,15000
D034,EMILIA PARDO BAZAN,15000
DF008,CONCEPCI�N ARENAL,15000
DF016,CARANZA,15000
DF017,SALVADOR DE MADARIAGA,15000
F002,LOS ROSALES,15000
F011,ORILLAMAR,15000
F012,SAN SEBASTIAN,15000
F013,ARTEIXO,15000
F029,FOMENTO,15000
144,Sant Boi Llobregat,8830
1473,Paral.lel,8004
168,Can Drag� Heron City,8016
182,Maquinista,8030
255,Sabadell,8204
308,SPLAU,8940
41,Sant Cugat,8190
2532,AB ILLA CARLEMANY,700
2575,AB PISTAS VALLNORD PLANELLS,300
2318,Qu Qu Aeroport,8820
151,T2-M3,8820
206,T2-M5,8820
220,L4,7700
221,L5,7700
2305,T2-Lleg. ex ARS,8820
2307,T1-Lleg.12 Pent�g.,8820
2312,T2-Tie. Ex Planta,8820
18,ECI GENIL,18008
17,ECI CORDOBA,14008
16,ECI M�LAGA,29007
15,ECI NERVION,41005
8,ECI DIAGONAL,8028
9,ECI F.MACIA,8028
10,ECI CORNELLA,8940
11,ECI SABADELL,8206
19,ECI MALLORCA AVENIDAS,7002
2813,Diagonal Mar,8019
2815,Baricentro,8210
2835,Gan V�a Pedrosa,8900
253,Leon,24001
E-SE1,Medas /  E-SE1,17185
E-SE2,SELVA CAFFE DI ROMA A.S. (sur),8000
E-SET,Divers tienda/Ma�anet de la Selva,17185
E-MY1,MONTSENY HOSTELER�A A.S._N,8450
E-MYT,MONTSENY TIENDA A.S._N,8450
E-VALL1,A.S. del Valles Burguer king,8000
E-VALL2,A.S. Del Valles Caffe di Roma,8000
505,"C.U.P. TELECOMUNICACIONS, S.L.",17820
659,ABOUT LINE S.L.,28800
038a,COSLADA - Doctor Michavila,28820
1498,ABOUT LINE S.L.,28850
0754a,BREATEL S.L.U.,28850
829,ABOUT LINE S.L.,28850
20,ECI SANTANDER,39010
21,ECI PAMPLONA,31002
19,SANTANDER,39010
25,A CORU�A,15006
53,GAND�A,46702
394,BC Maquinista Litetr�n,8030
BK02,C.C. Gl�ries (B. King),8018
BK05,La Maquinista (B.King),8030
BK06,Piscines i Esports (B. King),8029
MC01,Pelai (Mc Donald's),8001
MC05,La Maquinista (McDonald's),8030
MC10,Rambles (McDonald's),8002
1,L' HOSPITALET,8901
10,LLEIDA,25003
106,CC GRAN VIA,8908
13,GIRONA,17002
17,MANRESA,8242
5,SABADELL,8207
8,STA. COLOMA,8922
2323,T1-ESPADA,8820
2331,T2-MC,8820
35,C�RDOBA,14007
2400,BK Cornell�,8940
2401,BK Atrium Sant Andreu,8740
2402,BK Port Ol�mpic,8005
12,ALIMERKA-LUG-AVDA.VIELLA,33420
40,ALIMERKA-LUG-A.CASONA,33420
16,ECI EL DUQUE,41002
12,ECI AV DE FRANCIA,46002
13,ECI PINTOR SOROLLA,46002
5,BILBAO - GUGGENHEIM,48009
40,GIJ�N 2,33208
11,VALENCIA - EL CORTE INGL�S COL�N,46002
10,VALENCIA - SAN LORENZO,46003
13,M�LAGA,29015
14,MARBELLA,29600
595,CASCAIS,2775
606,COLOMBO_CC,1500
607,COLOMBO_CIDPERDIDA_FC,1500
644,VASCO_DE_GAMA,1900
882,DOLCE_VITA_ANTAS,4435
907,S_JOAO_DA_MADEIRA,0
909,FORUM_CASTELO_BRANCO,6000
929,929,8420
10240,10240,8100
3914,3914,8186
794,TUCSIA-VITERBO,1100
795,CORSO-FRANCIA,191
814,CASTEL ROMANO,128
816,LEONARDO-FIUMICINO,54
819,VIA AURELIA IMAGEN,165
821,VIMERCATE,20059
822,ROMA EST LUNGHEZZA,100
828,TIBURTINO GUIDONIA,12
1,BCN - LAS RAMBLAS,8002
2,BCN - PORTAFERRISA,8002
3,BCN - C.C. ARENAS,8015
65,FERROL,15401
66,VILAGARCIA DE AROUSA,36600
7,MADRID - MAYOR,28013
8,MADRID - EL CORTE INGL�S CALLAO,28013
9,MADRID - C.C. LAS ROZAS VILLAGE,28232
12,ZARAGOZA - INDEPENDENCIA,50001
15,CC Aragonia,50009
BK15,C.C. La Vaguada (B.King),28029
BK17,Goya (B.King),28001
BK18,Gran V�a (B.King),28013
MC15,C.C. La Vaguada (McDonald's),28029
MC17,Princesa (Mc Dondald's),28008
MC18,Gran V�a (McDonald's),28013
14,ECI MURCIA,30009
219,VINAROS,12500
103,GA.CO.2� FASE ELVI�A,15008
658,GA.CO.POCOMACO,15008
662,GA.CO.MERCADO DE ELVI�A,15008
689,GA.CO.CUATRO CAMINOS,15006
694,GA.CO.GENERAL SANJURJO121,15006
112,FIGUERES 2,17600
114,CORNELL� 1,8940
135,VIC 2,8500
140,LA SEU D'URGELL,25700
143,L'HOSPITALET 4,8901
152,EL PRAT DE LLOBREGAT 2,8820
161,FRAGA,22520
166,OLESA DE MONTSERRAT,8640
181,BCN CASTILLEJOS,8025
182,TARRAGONA GOBERNADOR GONZ�LEZ,43001
185,REUS RIERA MIR�,43204
186,REUS PRAT DE LA RIBA,43201
187,TORTOSA,43500
189,EL VENDRELL,43700
190,VILA-SECA,43480
191,SANT SADURNI D'ANOIA,8770
192,RUB�,8191
20,CASTELLDEFELS,8860
201,CASTELLAR DEL VALLES,8211
202,L'HOSPITALET 5,8906
208,SANT BOI 2,8830
210,BCN NAVAS DE TOLOSA,8041
212,IGUALADA,8700
213,SANTA PERPETUA DE MOGODA,8130
214,MANRESA 2,8241
216,TERRASSA 5 Mcat de la Independ�ncia,8221
217,SABADELL 4,8203
22,TERRASSA 4,8222
224,CUBELLES,8880
226,SANTA COLOMA GRAMENET-3,8922
228,BCN TORRAS I BAGES,8030
230,MONTCADA I REIXAC,8110
233,BCN MALLORCA,8036
236,VILANOVA i LA GELTR� 1,8800
238,VILAFRANCA,8720
239,BCN CONSELL DE CENT,8015
240,BCN MARE DE DEU DE MONTSERRAT,8041
242,BCN ROGENT,8026
244,LA GARRIGA,8530
246,MANLLEU,8560
258,PINEDA-2,8397
260,BCN GUILLEM TELL,8006
261,BCN PI I MARGALL,8025
262,BCN PASSEIG SANT JOAN,8037
266,GIRONA-2,17005
268,BCN JOAN G�ELL,8028
269,BCN MARE DE DEU DE MONTSERRAT-2,8024
271,ARENYS DE MAR,8350
353,GA.VALL.ZORRILLA,47007
810,GA.PADRON,15900
352,GA.VALL.PAJARILLOS,47012
356,GA.VALL.ESGUEVA,47003
275,CORNELL� 3,8940
277,BCN GUITARD,8014
278,LA BISBAL D'EMPORD�,17100
281,VIELHA,25530
283,CALELLA,8370
284,BCN MARINA,8005
285,SOLSONA,25280
287,SANT CUGAT-2,8172
289,BCN MERIDIANA-2,8027
290,ESPLUGUES 2,8950
30,BADALONA 3,8914
319,PARETS DEL VALL�S,8150
320,LLEIDA 4,25008
321,BCN REPUBLICA ARGENTINA,8023
322,SANTA COLOMA FARNERS,17430
323,BCN CARRERAS I CANDI,8028
324,SANT FELIU DE LLOBREGAT,8980
325,TORDERA,8490
327,BCN MUNTANER-2,8036
330,SANT FELIU DE GUIXOLS-2,17220
332,SANT CELONI,8470
344,CARDEDEU (MERCAT),8440
345,SANTA COLOMA GRAMENET-4,8924
346,SANT JOAN DESPI-2,8970
348,L'HOSPITALET 3,8905
351,LLEIDA 5,25199
353,BADALONA 4,8912
354,BCN INDUSTRIA,8025
39,GRANOLLERS 2,8400
40,MATARO 3,8304
70,BCN SANTS,8014
73,SABADELL 3,8201
936,GA.MASIDE,32570
1,ECI PRECIADOS,28013
2,ECI CAMPO DE LAS NACIONES,28042
3,ECI SAN JOSE DE VALDERAS,28925
4,ECI PRINCESA,28008
5,ECI POZUELO,28000
6,ECI CASTELLANA,28003
T-7,Forfaits Funicamp,8000
R-24,Xirixuca Solanelles (Andburger),8000
L-14,Lavabo Solanelles (edifici),8000
P-38,Pista Enredort,8018
P-39,Pista Colibr�,8019
S-3,Snowpark Peterol,8000
Te-12,Telecadira Pla de les Pedres,8000
Te-2,Telecadira Colibr�,8000
R-19,Self Solanelles,8000
P-36,Pista Solanella,8017
Te-23,Telesqu� Cortals_II,8000
R-22,Xiricuca Colibr� (Pans/ADK),8000
P-32,Pista Aig�es Tortes,8016
I-4,Punt Informaci� i reclamacions Funicamp,8000
664,GA.LARACHA,15145
674,GA.BAIO,15150
808,GA.CEE,15270
814,GA.CEE 2,15270
412,GA.CAMBADOS,36630
413,GA.SANXENXO,0
949,GA.O GROVE,36980
458,GA.A RAMALLOSA,36350
253,GA.BURELA,27880
264,GA.VIVEIRO 2,27850
84,GADIS HIPER VIVEIRO,27850
1115,Jin�mar,35220
1744,FCO CHAMARTIN,28046
1525,STAND -- EXPERIS ECI SANCHINARRO,28050
H-LP01,HOSP. LA PAZ CARMEN,28046
2601,PK Fuerte,35610
2310,T1-97 Sky Center,8820
2058,T2-Ex Europa,8820
150,T2-M3,8820
257,DSM CARPA CERVECERIA FCB,8028
2059,T1-42 Internac,8820
2057,T1-Sky Center,8820
2311,T1-Espada,8820
2308,T1-50 Internac.,8820
281,T1-Aire,8820
282,T1-Tier. Llegadas,8820
2319,GM T1-Espada,8820
E-BU1,Medas /  E-BU1,15670
0330a,"GRUPO LIDERTEL, S.L.",35120
0883a,"GRUPO MOVIL CONECTATE, S.L",28770
265,COLMENAR C. CIAL.,28770
877,"GRUPO MOVIL CONECTATE, S.L",28760
1419,"LUALBO, S.L",28700
340,SAN SEBASTIAN DE LOS REYES C.C. LA VI�A,28700
R-CH2,The Sweet Market /  R-CH2,28036
R-CH4,Carmen /  R-CH4 - NO PERTENECE A AREAS,28036
349,LAS ROZAS-2,28231
1013,"LUALBO, S.L",28400
25,GALAPAGAR - Voluntarios,28260
0660a,"GRUPO BONATEL, S.L.U.",28200
249,GETAFE - Madrid,28902
625,"IMAGINE PHONE, S.L.",28901
1064,BREATEL S.L.U.,28900
1552,STAND -- ROLVAS 5 ECI EL BERCIAL,28905
213,GETAFE - CC Nassica,28906
255,GETAFE III- C. CIAL SECTOR III,28905
8,Cartagena,30201
18,BOADILLA DEL MONTE - Infante Don Luis,28660
793,793,17300
930,930,17300
939,939,17230
943,943,17320
1,Illa Diagonal,8028
2,Gran Via 2,8908
3,Sant Cugat,8035
4,Santa Caterina,8003
5,La Pla�a,8201
6,Espai Giron�s,17190
R-AC1,Caf� Caf� /R-AC1,15000
A-2,Aparcament Grau Roig,8000
L-7,Lavabo Piolets (restaurant),8000
R-10,Restaurant Piolets,8000
AA-1,Activitat Aventura,8000
L-8,Lavabo Grau Roig (edifici),8000
P-13,Pista Antenes,8003
Te-10,Telecadira Coma Blanca,8000
J-2,Jard� de neu Grau,8000
15,VILANOVA,8800
I-2,Punt Informaci� Grau i reclamacions (flor de neu),8000
S-2,Snowpark Xavi,8000
R-27,Restaurant 3 Estanys (Pizza Roma),8000
Te-17,Telecadira Antenes,8000
R-21,Bar de Gel Grau (Pla de les Pedres),8000
Te-16,Telecadira Cubil,8000
R-17,Xirixuca Llac Cubil (Westfalia),8000
Te-14,Telecadira Llac Cubil,8000
P-29,Pista Cam� Pessons,8013
R-16,Restaurant Pessons,8000
L-16,Lavabo Pessons (restaurant),8000
Te-9,Telesqu� Montmal�s,8000
P-27,Pista Mirador,8012
P-23,Pista Montmal�s,8009
P-12,Pista Diagonal,8002
Te-21,Telecadira Pic Blanc,8000
P-30,Pista Serrat Pin�s,8015
2564,AB COLIBRI,200
E-MY2,MONTSENY HOSTELER�A A.S._S,8450
E-MYTS,MONTSENY TIENDA A.S._S,8450
10238,10238,8360
2321,Mussol Aeroport,8820
10251,10251,8370
3,Meridiana,8027
243a,ALGECIRAS - CC Puerta Europa,11207
272,Algeciras,11201
I-3,Punt Informaci� i reclamacions Cubil,8000
5,Jerez,11405
R-4,Restaurant Costa Rodona,8000
4,Vigo,36203
7,Granada,18004
1,Hospitalet,8902
F-1,Fotografia Solana,8000
Te-7,Telecadira Solana,8000
P-15,Pista Pastora,8005
L-4,Lavabo Costa Rodona (resturant),8000
A-1,Aparcament Costa Rodona,8000
T-1,Forfaits Pas,8000
R-32,Xirixuca Cubil (Andburguer),8000
ET-1,Escola taquilles Pas,8000
6,Madrid,28050
EM-1,Escola Monitor Pas,8000
P-14,Pista Grandalles,8004
2,TRH Mijas,29650
1,TRH Alcora,41920
A-B35,BARCELONA AEROP T1 STORY STORE,8820
A-B5,Sibarium Sky /  A-B5,8820
A-B51,LA FARGA,8000
A-B60,BCN AEROP. ADIDAS_T1,8820
14,CAMBALACHE_REST,15706
15,CAMBALACHE_DOM,15706
16,CAMBALACHE_REST,36000
17,CAMBALACHE_DOM,36000
18,CAMBALACHE_REST,36002
19,CAMBALACHE_DOM,36002
20,CAMBALACHE_REST,15570
21,CAMBALACHE_DOM,15570
T-3,Forfaits Costa Rodona,8000
R-1,Xirixuca Font Negre (Pans),8000
R-8,Restaurant Coll Blanc (KSB),8000
L-3,Lavabo Font Negre (xirixuca),8000
L-5,Lavabo Coll Blanc (resturant),8000
J-1,Jard� de neu Pas,8000
P-5,Pista Directa_I,8024
R-5,Xirixuca Costa Rodona,8000
P-8,Pista Fletxa,8026
Te-3,Telecadira Pas de la Casa,8000
L-2,Lavabo Coll Blanc (telecadira),8000
P-10,Pista Jordi Angl�s,8001
I-1,Punt Informaci� i reclamacions Pas,8000
948,948,17003
946,946,17460
944,944,17160
E-EM1,Medas /  E-EM1,17185
E-EM2,TIENDA NORTE,17773
2,Valencia,46021
253,OLOT,17800
57,"GSM BAHIA, S.L.U.",10001
1517,"VODAREX COMUNICACIONES, S.L.L.",10600
1519,"VODAREX COMUNICACIONES, S.L.L.",10002
1007,ROLVAS 5 CIUDAD REAL S.L,45600
80,TUDELA,31500
94,Vitoria,1004
R-SA1,Divers /  R-SA1,8100
R-SA2,Estanco /  R-SA2,8100
R-SA3,FCBotiga /  R-SA3,8100
R-SA4,Ars /  Barra R-SA4,8100
R-SA5,Lavazza/  R-SA5,8100
524,524,8027
10059,10059,8020
10062,10062,8028
823,823,8028
R-CH1,Divers /  R-CH1,28036
1554,STAND -- EXPERIS TIENDAS ECI ALCALA DE HENARES,28806
79,ABOUT LINE S.L.,28830
0308a,BREATEL S.L.U.,28805
0724a,ROLVAS 5 CIUDAD REAL S.L,28803
452,"GRUPCOM RETAIL,  S.L.",22700
0517a,"GRUPCOM RETAIL,  S.L.",22002
882,"GRUPCOM RETAIL,  S.L.",22300
968,"AUDIO SPORT TELEFONIA, S.L.",22520
1428,"GRUPCOM RETAIL,  S.L.",22400
131a,HUESCA - CC Eroski,22006
E-FR1,Medas /  E-FR1,22520
417,"ZAITEL 500 , S.L.",50007
30,ZARAGOZA 2,50004
104,ELECTRODOMESTICOS DUR�N,14200
186,AUTOMOVILES AGUDO CANTERO S.L,14400
604,OFINET PARTICULARES,14800
1434,"SERVITEL XXI, S.L",14920
1436,COMERCIAL JOSENDE S.L. JUMA,14550
127,MOVITEL,14400
A-3,Aparcament Cubil,8000
L-10,Lavabo Pulka (xirixuca),8000
EM-4,Escola Monitor Grau (edifici nou),8000
R-30,Self Cubil,8000
R-13,Xirixuca Pulka (Pans),8000
L-9,Lavabo Cubil (edifici),8000
T-6,Forfaits Cubil,8000
ET-4,Escola taquilles Grau (edifici escola d'esqu�),8000
R-11,Xirixuca 3 Estanys (Westfalia /Andburger),8000
L-11,Lavabo 3 Estanys (restaurant),8000
Te-15,Telecadira Xavi,8000
L-19,Lavabo Costa Rodona (self),8000
Te-8,Telecadira Costa Rodona,8000
P-18,Pista Llarga,8006
P-6,Pista Directa_II,8025
P-21,Pista Bosc,8008
R-6,Self Costa Rodona,8000
P-4,Pista Port,8020
R-28,Cafeteria Pessons,8000
P-3,Pista Gavatxa,8014
Te-4,Telecadira Font Negre,8000
R-25,Xirixuca Pessons,8000
L-15,Lavabo Cortals (edifici Multiserveis),8000
P-44,Pista Variant Enradort,8023
P-25,Pista Moret�,8011
P-40,Pista Cortalets,8021
J-4,Jard� de neu Cortals,8000
L-18,Lavabo Pessons (xirixuca),8000
P-43,Pista Riu Solanelles,8022
P-20,Pista Pala Nova,8007
EM-6,Escola Monitor Cortals,8000
ET-6,Escola taquilles Cortals,8000
P-24,Pista Granota,8010
R-18,Restaurant Solanelles,8000
R-23,Cafeteria Solanelles,8000
L-12,Lavabo Llac de Cubil (restaurant),8000
0241a,"ZAITEL 500 , S.L.",34001
108,PALENCIA - Mayor,34001
0078a,"AUSARTA MEDIA, S.L.",34000
47,Valladolid,47001
247,ARROYO DE LA ENCOMIENDA - CC Rio Shopping,47195
61,Santa Coloma,8921
301,LAS FUENTES,28013
816,RADITEL,28670
486,"GRUPO LIDERTEL, S.L.",28003
1599,STAND -- ROLVAS 5 ECI CASTELLANA,28046
48,Madrid Bravo Murillo 2,28020
256,Madrid Orense,28020
AL1091,Plataforma Almac�n general de C�diz - CADIZ,11000
AL2001,Plataforma Getafe nueva - MADRID,28000
AL0001,Plataforma Eco / Diplo - MALAGA,29000
364,GA.VALL.GENERAL RUIZ,47004
368,GA.VALL.SAN QUIRCE,47003
AL0004,Plataforma BRC almac�n Charcuter�a - MALAGA,29000
373,GA.LAGUNA DE DUERO,0
374,GA.VALL.AV DE BURGOS,47009
375,GA.VALL.AV DE SEGOVIA,4701
377,GA.VALL. FIDEL RECIO,47002
AL3001,Almac�n alta rotaci�n / baja rotaci�n - SEVILLA,41000
352,VALDEMORO,28341
251,LEGAN�S-1,28915
FH05320,FH AVDA DE ASTURIAS,28029
FH05386,FH TALAVERA,45600
I001193,FH EQUINOCCIO,28220
S042,FH SEGOVIA,40002
710,BREATEL S.L.U.,28970
825,"LUALBO, S.L",28224
1038,ABOUT LINE S.L.,28023
692,ALCOTEL,28931
1555,STAND -- ROLVAS 5 TIENDAS ECI ARROYOMOLINOS,28939
304,LUALBO - XANAD� FQ,28939
286,ALCORC�N,28924
5,DERBY HOTEL BARCELONA 4*,8029
1,MERIDIANA_DORMITY,8027
10,BONANOVA_DORMITY,8022
13,SANT CUGAT_DORMITY,8172
17,RUBI_CENTRO,8191
18,RUBI_MERCADO,8191
19,RUBI_STOCKS,8191
20,MATARO_DORMITY,8301
24,GIRONA_DORMITY,17002
29,TRAVESSERA DE LES CORTS_DORMITY,8029
32,VIA AUGUSTA_DORMITY,8021
33,CERDANYOLA_DORMITY,8290
4,SANTS_DORMITY,8014
40,SABADELL_DORMITY,8021
45,LA MAQUINISTA_DORMITY,8030
46,DORMITY_SPLAU,8040
47,DORMITY_BARNASUD,8850
48,DORMITY_LLEIDA,25007
49,CORNELLA_OUTLET,8940
50,DORMITY VIC,8500
51,DIAGONAL_DORMITY,8036
7,SANTA EULALIA_DORMITY,8902
7,ASTORIA HOTEL BARCELONA 3*,8036
10288,10288,43480
2530,2530,43005
2909,2909,43800
2904,2904,43700
E-MD1,Medas /  E-MD1,43005
E-MD2,M�dol (tienda),43005
2,CASTELLANA,28003
88,Madrid Vaguada,28000
16,MADRID - Pr�ncipe de Vergara,28016
0834a,"VENTIS TELECOM, S.L.",18500
0945a,"VENTIS TELECOM, S.L.",18300
0947b,"VENTIS TELECOM, S.L.",18800
177,GRANADA - Puerta Real,18001
311,GA.FE.CATABOIS,15405
302,GA.FE.ESTEIRO,15403
312,GA.NARON CRTA. CEDEIRA,15575
3660,GARCIA MANZANARES M.TERESA,43006
14941,Cristina Lobato Rodr�guez,8800
947,GA.A POBRA DO CARAMI�AL2,15940
81,GADIS HIPER RIVEIRA,15960
945,GA.RIVEIRA 2,15975
401,GA.VILAGARCIA 1,36600
204,GA.LU.ISLAS CIES,27003
208,GA.LU.LAVANDEIRA,27003
946,GA.VILALBA 3,27800
CT05122,AQUA,46023
Z001506,ALCOBENDAS,28100
142,GA.MELIDE,15800
146,GA. MELIDE 2,15800
584,ABOUT LINE S.L.,28008
1557,STAND -- EXPERIS ECI LA VAGUADA,28029
E-SS1,Medas /  E-SS1,36142
950,GA.VI.PINTOR COLMEIRO,36211
1403,ABOUT LINE S.L.,28011
4,Cambrils,43850
674,BREATEL S.L.U.,28024
814,ABOUT LINE S.L.,28044
19,Vilafortuny,43850
331,MAD PRINCIPE DE VERGARA-2,28002
259,MAD ESCALONA,28024
7742,"ECHAVARRI GUERRA, JOSE LUIS",28300
328,"XETAR SISTEMAS, S.L",13670
403,"GRUPCOM RETAIL,  S.L.",13250
0766a,ROLVAS 5 CIUDAD REAL S.L,13260
303,ROLVAS 5 CIUDAD REAL,13001
R-VG1,Caf� Caf� /  R-VG1,36201
97,"PUNZON BIEZMA, S.L",45710
245,OLIAS DEL REY - CC Abad�a,45280
59,Toledo,45004
7955,FCIA. GASTEARENA GORR-ERICE CB,48950
56430,"MARTINEZ DE ANCA, TOMAS",19250
1006,ROLVAS 5 CIUDAD REAL S.L,19001
12034,Nuria Rodrigo Garcia,19001
95,MATAR� - Riera,8302
E-SE3,SELVA BURGER KING A. S. (sur),8000
4,Tommy Mel�s La Maquinista,8030
5,Tommy Mel's Sevilla,41005
2,Tommy Mel�s Hortaleza,28004
12,Tommy Mel�s Pedro Teixeira,28020
14,Tommy Mel�s Silvano,28043
16,Tommy Mel�s C.C. La Gavia,28051
17,Tommy Mel�s Islazul,28054
18,Tommy Mel�s Boadilla,28660
22,Tommy Mel�s C.C. Equinoccio,28222
27,Tommy Mel's Juan Bravo,28006
29,Tommy Mel's C.C. La Vaguada,28029
30,Tommy Mel's Aragonia,50009
31,Tommy Mel's Col�n,28009
19,Tommy Mel�s Murcia,30001
3,Tommy Mel's Valencia,46005
E-BE1,La Pausa /  E-BE1,16470
044b,MADRID - Oca 80,28025
910,"LUALBO, S.L",28019
788,788,43740
673,673,8913
1417,"PUNZON BIEZMA, S.L",45400
467,"IRIS MOBILE, S.L.",45500
153,"IRIS MOBILE, S.L.",45200
1493,"ASPASOFT COMUNICACIONES, S.L.",28801
17,Mollerussa,25230
2,P. Riba,25004
21,Pi i Margall,25004
35,Torrefarrera,25123
36,T�rrega,25300
44,Cap Pont,25001
47,Alcoletge,25660
51,Bar� de Maials,25005
55,Pius XII,25003
61,Balaguer III,25600
75,Pla�a Europa,25005
81,Ciutat Campus,25001
9,BORDETA,25001
1539,STAND -- EXPERIS ECI PRINCESA,28008
